Params,hMin,hMax,hAvg,tAvg
it:50|a:2|b:2|af:0.4|er:0.9,1821.44,1970.15,1878.05,399
it:50|a:2|b:2|af:0.4|er:0.7,1814.48,1999.62,1891.66,395
it:50|a:2|b:2|af:0.4|er:0.5,1832.55,1956.85,1890.61,409
it:50|a:2|b:2|af:0.5|er:0.9,1764.55,1921.71,1862.00,550
it:50|a:2|b:2|af:0.5|er:0.7,1777.36,1959.66,1880.13,554
it:50|a:2|b:2|af:0.5|er:0.5,1789.49,1942.90,1864.98,568
it:50|a:2|b:2.1|af:0.4|er:0.9,1768.01,1968.87,1872.28,587
it:50|a:2|b:2.1|af:0.4|er:0.7,1821.77,1984.37,1886.48,605
it:50|a:2|b:2.1|af:0.4|er:0.5,1748.81,1970.20,1885.68,554
it:50|a:2|b:2.1|af:0.5|er:0.9,1769.84,1961.40,1860.22,687
it:50|a:2|b:2.1|af:0.5|er:0.7,1775.47,1950.22,1866.88,694
it:50|a:2|b:2.1|af:0.5|er:0.5,1791.96,1916.84,1857.28,675
it:50|a:2.1|b:2|af:0.4|er:0.9,1800.72,1992.85,1883.50,548
it:50|a:2.1|b:2|af:0.4|er:0.7,1796.48,1960.91,1882.10,549
it:50|a:2.1|b:2|af:0.4|er:0.5,1758.99,1959.96,1888.92,553
it:50|a:2.1|b:2|af:0.5|er:0.9,1778.05,1937.17,1871.21,677
it:50|a:2.1|b:2|af:0.5|er:0.7,1745.07,1942.21,1866.18,675
it:50|a:2.1|b:2|af:0.5|er:0.5,1786.11,1939.44,1872.88,673
it:50|a:2.1|b:2.1|af:0.4|er:0.9,1741.51,1923.96,1877.30,651
it:50|a:2.1|b:2.1|af:0.4|er:0.7,1803.19,1928.94,1872.27,645
it:50|a:2.1|b:2.1|af:0.4|er:0.5,1814.44,1932.38,1884.23,652
it:50|a:2.1|b:2.1|af:0.5|er:0.9,1786.03,1937.43,1860.89,808
it:50|a:2.1|b:2.1|af:0.5|er:0.7,1734.20,1935.77,1851.75,831
it:50|a:2.1|b:2.1|af:0.5|er:0.5,1781.09,1928.46,1861.75,854
